Filename,sigR,sigG,sigB
Image1_dct_q10.png,89.7832539380263,84.5543805538458,37.3718707286923
Image1_dct_q50.png,81.4346750185062,79.5832890406767,43.5141379358063
Image1_dct_q70.png,80.001569964772,78.8764402623497,41.2444315270277
Image2_dct_q70.png,18.9467392286133,18.9278511829481,19.5791757659497
Image2_dct_q50.png,19.0380615640526,19.0353682703314,19.6646486921023
Image2_dct_q10.png,19.8790563109361,20.0279094154699,20.5574281755521
barvicky_dct_q10.png,73.2666681860295,77.449194643791,84.6867009402881
barvicky_dct_q50.png,69.5624131131091,74.9556448165782,80.4090478808866
barvicky_dct_q70.png,69.0811723570682,74.5671460169236,79.351594100092
dkm_dct_q70.png,25.6008803527486,25.618739027908,25.6033056006699
dkm_dct_q50.png,25.6137692769543,25.6434534304678,25.6144124063594
dkm_dct_q10.png,26.7381835649931,26.8855561849255,26.7208528789834
gradient_dct_q10.png,4.28274985373133,4.07465060996262,4.34340305940539
gradient_dct_q50.png,1.10528013630021,1.1769819033582,1.20778867160864
gradient_dct_q70.png,1.05470243933696,0.968664600603313,1.18333647545633
prazdny_dct_q70.png,0.0132857142858143,1.24338571428575,0.171664285714172
prazdny_dct_q50.png,0.299000000000092,1.52910000000003,0.114050000000105
prazdny_dct_q10.png,4.29900000000009,5.52910000000003,4.11405000000008
rovne_dct_q10.png,42.60155869518,42.4917485530373,41.4247196565846
rovne_dct_q50.png,39.9601775576521,40.1955638704605,38.8382062777615
rovne_dct_q70.png,39.8493108559908,40.1468260158264,38.7715378510675
text_dct_q70.png,14.8609070520502,14.9045933163154,14.8631342771205
text_dct_q50.png,14.8186601227714,14.8799186754093,14.8182611727221
text_dct_q10.png,15.1715228782879,15.499054556617,15.1303149230345
text2_dct_q10.png,36.3149785330817,36.4162596930272,36.3033308221896
text2_dct_q50.png,34.547701646434,34.578913929378,34.546794346718
text2_dct_q70.png,34.5837520162131,34.596365240075,34.5856389387093
