35,6774
657,3703
760,3005
760,3010
791,2434
795,1623
797,3737
848,3872
912,2600
912,2602
1191,1416
1207,4439
1358,3029
1411,1024
1642,2595
1655,1449
1709,4165
1709,4171
1722,1158
1829,5522
1854,2796
1940,3560
2017,4506
2038,3274
2307,2057
2492,2837
2512,922
2718,2220
2766,627
2773,5029
2777,1572
2797,798
2834,3507
2981,618
3048,1546
3076,3861
3078,5086
3124,3366
3132,1800
3155,5186
3161,3216
3174,1255
3234,3121
3261,2815
3386,5937
3541,2028
3542,2033
3570,2289
3587,2927
3620,3220
3623,3228
3694,3678
3785,4978
3832,661
3838,5235
3850,3712
3899,3128
3914,2020
3918,1652
3919,1658
3922,952
4007,2535
4072,5262
4072,5268
4205,2241
4209,1729
4377,945
4418,3164
4548,1098
4633,1967
4672,1587
4683,2870
4857,1762
4862,1320
4892,620
4989,5527
5075,2149
5132,1272
5169,1562
5431,3537
5449,1631
5512,6043
5537,5043
5811,5390
5812,5396
5905,2869
5933,5582
6099,1371
6176,2131
6192,2482
6418,3223
6510,1199
6530,5864
6530,5869
6533,3064
6671,795
6677,1087
6698,3175
6910,4677
6918,767
7003,2844
7010,3890
7058,5846
7077,1430
7125,3921
7148,5136
7161,4211
7169,1520
7190,1812
